id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
3126568,"['May', '17', '2022', '00:00:00']",34098600.0,242424.0,61.5845,6955.81,comfenalco1-meter,127.477
3126569,"['May', '17', '2022', '00:00:00']",3291820.0,12528600.0,4.61452,310.115,takurika1-meter,126.32
3126570,"['May', '17', '2022', '00:00:00']",16606800.0,22142.0,47.8262,5689.27,edlv-meter,126.478
3126571,"['May', '17', '2022', '00:00:00']",34098700.0,242424.0,61.5411,6956.55,comfenalco1-meter,127.527
3126572,"['May', '17', '2022', '00:00:00']",3291820.0,12528600.0,4.61796,309.965,takurika1-meter,126.453
3126573,"['May', '17', '2022', '00:00:00']",34098700.0,242424.0,61.6815,6972.39,comfenalco1-meter,127.466
3126574,"['May', '17', '2022', '00:00:00']",3291820.0,12528600.0,4.61548,310.273,takurika1-meter,126.321
3126575,"['May', '17', '2022', '00:00:00']",34098700.0,242424.0,62.4304,7063.92,comfenalco1-meter,127.442
3126576,"['May', '17', '2022', '00:00:00']",3291820.0,12528600.0,4.61987,309.333,takurika1-meter,126.164
3126577,"['May', '17', '2022', '00:00:00']",3291820.0,12528600.0,4.62194,309.191,takurika1-meter,126.204
